Kanton,Unfall,Fatal,Injured,heavy_Injured,anzahl_Fahrzeuge
AG,1213,24,959,230,490185
AI,30,1,21,8,13379
AR,78,1,63,14,41947
BE,2551,35,1993,523,724953
BL,478,7,385,86,187537
BS,391,3,294,94,85191
FR,541,6,420,115,227585
GE,1264,9,928,327,299808
GL,105,4,75,26,30719
GR,483,15,388,80,152688
JU,165,3,134,28,55125
LU,1013,13,850,150,284459
NE,282,3,220,59,120941
NW,103,3,72,28,34476
OW,66,1,52,13,30612
SG,911,13,708,190,362744
SH,158,3,115,40,60317
SO,613,8,518,87,198328
SZ,298,5,239,54,126689
TG,598,8,473,117,221037
TI,904,12,676,216,301627
UR,117,3,95,19,26497
VD,1400,18,1042,340,521827
VS,505,15,348,142,274284
ZG,267,2,216,49,96634
ZH,3202,23,2602,577,925409
