Kanton;Unfall;Fatal;Injured;heavy_Injured;anzahlFahrzeuge
AG;1191;15;887;289;473'792
AI;27;1;19;7;12'731
AR;85;1;66;18;40'323
BE;2462;26;1949;487;704'213
BL;469;8;372;89;183'349
BS;327;2;245;80;85'609
FR;543;11;396;136;216'907
GE;1181;10;809;362;294'831
GL;93;2;75;16;29'642
GR;498;12;418;68;148'082
JU;115;1;86;28;54'170
LU;967;7;761;199;271'895
NE;280;6;223;51;119'146
NW;82;3;67;12;33'446
OW;58;2;47;9;29'505
SG;980;23;763;194;352'182
SH;148;2;121;25;58'202
SO;620;10;519;91;192'364
SZ;292;4;230;58;121'381
TG;609;8;523;78;210'142
TI;954;13;704;237;291'517
UR;123;5;97;21;25'704
VD;1782;34;1331;417;494'475
VS;498;17;233;248;263'102
ZG;254;1;199;54;91'368
ZH;2835;33;2217;585;895'564
