Kanton,Unfall,Fatal,Injured,heavy_Injured,anzahl_Fahrzeuge
AG,1215,23,955,237,483150
AI,28,2,20,6,12948
AR,91,3,75,13,41122
BE,2509,23,1944,542,714853
BL,475,7,366,102,185406
BS,374,2,286,86,86015
FR,550,8,404,138,222000
GE,1300,11,927,362,296380
GL,90,1,72,17,30167
GR,526,15,441,70,150339
JU,161,4,120,37,54347
LU,1010,10,814,186,278102
NE,285,7,235,43,119378
NW,80,2,58,20,33962
OW,63,2,48,13,30056
SG,972,12,761,199,357911
SH,163,4,120,39,59430
SO,586,7,502,77,195310
SZ,271,2,199,70,124008
TG,632,7,556,69,215342
TI,869,7,631,231,296640
UR,94,2,70,22,26019
VD,1609,20,1193,396,503127
VS,530,17,296,217,268093
ZG,276,3,214,59,93969
ZH,3044,28,2449,567,906010
