Kanton,Unfall,Fatal,Injured,heavy_Injured,anzahl_Fahrzeuge
AG,1079,14,837,228,498194
AI,28,1,13,14,13719
AR,86,0,61,25,42651
BE,2465,30,1871,564,735429
BL,506,8,427,71,189909
BS,413,4,314,95,85984
FR,550,7,438,105,233023
GE,1170,11,838,321,301824
GL,100,1,82,17,31064
GR,492,14,400,78,154880
JU,134,4,108,22,56049
LU,855,9,733,113,290486
NE,300,6,240,54,122267
NW,91,1,65,25,35059
OW,101,2,83,16,31082
SG,876,13,687,176,367986
SH,170,2,122,46,61259
SO,632,6,535,91,201746
SZ,297,4,232,61,129772
TG,566,7,428,131,225915
TI,724,8,523,193,305357
UR,102,2,82,18,26858
VD,1692,20,1317,355,521827
VS,469,10,317,142,280362
ZG,269,2,218,49,99290
ZH,3410,22,2850,538,938520
