Jahr;AG;AI;AR;BE;BL;BS;FR;GE;GL;GR;JU;LU;NE;NW;OW;SG;SH;SO;SZ;TG;TI;UR;VD;VS;ZG;ZH
2008;424'718;11'216;37'724;681'496;174'910;83'478;189'999;285'297;25'535;137'001;50'144;243'692;110'628;29'674;25'488;309'787;53'609;176'520;107'815;185'569;266'785;22'393;456'545;230'172;81'484;843'134
2009;428203;11'903;38'963;658'351;183'264;82'159;199'913;284'361;26'850;140'917;50'159;245'432;111'249;30'852;26'563;317'882;52'907;177'156;109'235;195'878;270'337;23'531;451'779;237'471;81'920;835'731
2010;440'480;11'968;37'612;670'515;177'631;84'209;198'321;287'721;27'578;139'977;50'991;252'567;112'917;31'520;27'458;327'467;54'389;181'565;112'971;192'702;275'029;24'112;463'186;243'166;84'109;849'622
2011;452'282;12'295;38'536;681'005;180'295;85'039;204'722;291'594;28'362;143'081;52'184;259'479;115'197;32'141;28'179;336'587;55'888;185'087;116'093;198'847;281'173;24'637;474'271;250'662;86'575;865'922
2012;463'958;12'533;39'530;693'057;182'575;86'232;211'764;294'988;29'086;146'134;53'092;266'426;117'481;32'698;28'998;345'435;57'131;189'506;119'334;205'349;286'606;25'271;486'179;258'557;89'200;884'203
2013;473'792;12'731;40'323;704'213;183'349;85'609;216'907;294'831;29'642;148'082;54'170;271'895;119'146;33'446;29'505;352'182;58'202;192'364;121'381;210'142;291'517;25'704;494'475;263'102;91'368;895'564
2014;483'150;12'948;41'122;714'853;185'406;86'015;222'000;296'380;30'167;150'339;54'347;278'102;119'378;33'962;30'056;357'911;59'430;195'310;124'008;215'342;296'640;26'019;503'127;268'093;93'969;906'010
2015;490'185;13'379;41'947;724'953;187'537;85'191;227'585;299'808;30'719;152'688;55'125;284'459;120'941;34'476;30'612;362'744;60'317;198'328;126'689;221'037;301'627;26'497;521'827;274'284;96'634;925'409
2016;498'194;13'719;42'651;735'429;189'909;85'984;233'023;301'824;31'064;154'880;56'049;290'486;122'267;35'059;31'082;367'986;61'259;201'746;129'772;225'915;305'357;26'858;521'827;280'362;99'290;938'520
2017;505'108;13978;43'378;742'794;191'895;86'113;237'578;303'219;31'522;157'002;56'873;295'829;122'894;35'444;31'518;372'121;62'026;203'796;131'953;230'743;306'961;27'219;528'486;285'841;101'899;947'068
