Jahr;AG;AI;AR;BE;BL;BS;FR;GE;GL;GR;JU;LU;NE;NW;OW;SG;SH;SO;SZ;TG;TI;UR;VD;VS;ZG;ZH
2008;19;4;3;42;9;5;14;11;3;16;6;14;5;0;1;22;4;8;10;9;20;5;38;14;8;46
2009;19;1;1;50;7;4;13;21;5;13;1;22;6;3;2;20;0;9;10;8;19;3;42;15;6;35
2010;12;3;2;36;9;4;11;14;0;27;6;17;5;0;6;14;2;6;12;9;23;2;34;18;4;37
2011;14;0;0;61;13;3;17;15;1;17;3;12;11;0;2;18;0;7;6;12;13;1;31;16;4;35
2012;20;0;3;37;14;5;9;12;2;17;4;11;5;2;1;16;4;3;8;11;16;9;30;21;4;37
2013;15;1;1;26;8;2;11;10;2;12;1;7;6;3;2;23;2;10;4;8;13;5;34;17;1;33
2014;23;2;3;23;7;2;8;11;1;15;4;10;7;2;2;12;4;7;2;7;7;2;20;17;3;28
2015;24;1;1;35;7;3;6;9;4;15;3;13;3;3;1;13;3;8;5;8;12;3;18;15;2;23
2016;14;1;0;30;8;4;7;11;1;14;4;9;6;1;2;13;2;6;4;7;8;2;20;10;2;22
2017;15;0;0;37;5;1;7;11;0;19;1;12;6;2;4;10;1;7;6;8;9;4;20;9;3;22
