Jahr;AG;AI;AR;BE;BL;BS;FR;GE;GL;GR;JU;LU;NE;NW;OW;SG;SH;SO;SZ;TG;TI;UR;VD;VS;ZG;ZH
2008;1'088;33;98;2'125;617;395;478;877;76;498;122;840;275;74;69;892;118;722;300;604;857;81;1'722;259;272;2'542
2009;1'197;24;88;1'935;604;366;476;729;92;461;109;888;284;72;84;957;114;720;306;567;803;106;1'712;261;246;2'633
2010;1'067;24;78;2'040;505;288;488;721;58;465;108;857;236;63;57;888;87;717;289;568;878;78;1'618;263;280;2'493
2011;1'053;35;87;2'039;414;228;460;632;71;436;106;873;233;64;61;982;109;660;257;565;805;70;1'463;256;217;2'392
2012;948;16;88;2'088;379;174;393;688;62;416;104;823;232;61;65;937;126;561;247;523;763;68;1'428;259;205;2'326
2013;887;19;66;1'949;372;245;396;809;75;418;86;761;223;67;47;763;121;519;230;523;704;97;1'331;233;199;2'217
2014;955;20;75;1'944;366;286;404;927;72;441;120;814;235;58;48;761;120;502;199;556;631;70;1'193;296;214;2'449
2015;959;21;63;1'993;385;294;420;928;75;388;134;850;220;72;52;708;115;518;239;473;676;95;1'042;348;216;2'602
2016;837;13;61;1'871;427;314;438;838;82;400;108;733;240;65;83;687;122;535;232;428;523;82;1'317;317;218;2'850
2017;935;21;78;2'009;395;280;439;811;71;417;113;803;244;56;76;764;128;497;247;476;568;90;1'298;355;194;2'788
