Jahr;AG;AI;AR;BE;BL;BS;FR;GE;GL;GR;JU;LU;NE;NW;OW;SG;SH;SO;SZ;TG;TI;UR;VD;VS;ZG;ZH
2008;301;6;25;565;94;95;123;350;25;96;32;281;95;19;19;365;43;114;56;69;379;29;280;318;60;527
2009;248;8;29;550;125;102;126;392;23;92;49;245;72;13;24;354;52;114;32;62;331;41;276;325;95;557
2010;266;8;43;485;97;89;132;373;24;71;41;221;66;16;25;309;44;123;57;79;292;29;329;309;50;504
2011;291;9;37;530;117;86;128;271;14;73;40;222;66;18;20;252;38;121;65;89;310;34;308;293;93;585
2012;282;4;15;471;89;77;123;323;17;67;39;197;59;16;14;257;38;115;60;82;271;29;300;275;70;577
2013;289;7;18;487;89;80;136;362;16;68;28;199;51;12;9;194;25;91;58;78;237;21;417;248;54;585
2014;237;6;13;542;102;86;138;362;17;70;37;186;43;20;13;199;39;77;70;69;231;22;396;217;59;567
2015;230;8;14;523;86;94;115;327;26;80;28;150;59;28;13;190;40;87;54;117;216;19;340;142;49;577
2016;228;14;25;564;71;95;105;321;17;78;22;113;54;25;16;176;46;91;61;131;193;18;355;142;49;538
2017;205;12;16;570;64;85;93;305;24;73;30;164;40;21;17;138;29;68;45;130;207;18;328;141;62;542
