Jahr;AG;AI;AR;BE;BL;BS;FR;GE;GL;GR;JU;LU;NE;NW;OW;SG;SH;SO;SZ;TG;TI;UR;VD;VS;ZG;ZH
2008;1'408;43;126;2'732;720;495;615;1'238;104;610;160;1'135;375;93;89;1'279;165;844;366;682;1'256;115;2'040;591;340;3'115
2009;1'464;33;118;2'535;736;472;615;1'142;120;566;159;1'155;362;88;110;1'331;166;843;348;637;1'153;150;2'030;601;347;3'225
2010;1'345;35;123;2'561;611;381;631;1'108;82;563;155;1'095;307;79;88;1'211;133;846;358;656;1'193;109;1'981;590;334;3'034
2011;1'358;44;124;2'630;544;317;605;918;86;526;149;1'107;310;82;83;1'252;147;788;328;666;1'128;105;1'802;565;314;3'012
2012;1'250;20;106;2'596;482;256;525;1'023;81;500;147;1'031;296;79;80;1'210;168;679;315;616;1'050;106;1'758;555;279;2'940
2013;1'191;27;85;2'462;469;327;543;1'181;93;498;115;967;280;82;58;980;148;620;292;609;954;123;1'782;498;254;2'835
2014;1'215;28;91;2'509;475;374;550;1'300;90;526;161;1'010;285;80;63;972;163;586;271;632;869;94;1'609;530;276;3'044
2015;1'213;30;78;2'551;478;391;541;1'264;105;483;165;1'013;282;103;66;911;158;613;298;598;904;117;1'400;505;267;3'202
2016;1'079;28;86;2'465;506;413;550;1'170;100;492;134;855;300;91;101;876;170;632;297;566;724;102;1'692;469;269;3'410
2017;1'155;33;94;2'616;464;366;539;1'127;95;509;144;979;290;79;97;912;158;572;298;614;784;112;1'646;505;259;3'352
